"LET" "Energy" "Alpha" "Sqrt(Beta)" "Alpha_Fit" "Beta_Fit"
2103 0.01 0.604694819648223 0.163254000234363 0.536065841059223 0.108517816415098
3143 0.02 0.332180726565555 0.178684564953213 0.552034526220893 0.105081949567902
3995 0.03 0.664153781100727 0.101428783866888 0.567392470668171 0.101786245262735
4733 0.04 0.677557604782949 0.0731726705208934 0.582150011104948 0.0986283378064429
5392 0.05 0.690864585047114 0.067675937106344 0.596317484235112 0.0956058615058755
5987 0.06 0.690864585047114 0.067675937106344 0.609905226762553 0.0927164506678808
6527 0.07 0.690864585047114 0.067675937106344 0.622923575391161 0.0899577395993073
7019 0.08 0.690864585047114 0.067675937106344 0.635382866824825 0.0873273626070033
7467 0.09 0.690864585047114 0.067675937106344 0.647293437767434 0.0848229539978173
7874 0.1 0.690864585047114 0.067675937106344 0.658665624922878 0.0824421480785976
8242 0.11 0.690864585047114 0.067675937106344 0.669509764995047 0.0801825791561927
8575 0.12 0.690864585047114 0.067675937106344 0.679836194687829 0.0780418815374508
8874 0.13 0.690864585047114 0.067675937106344 0.689655250705115 0.0760176895292205
9143 0.14 0.690864585047114 0.067675937106344 0.698977269750794 0.0741076374383501
9382 0.15 0.690864585047114 0.067675937106344 0.707812588528756 0.072309359571688
9595 0.16 0.690864585047114 0.067675937106344 0.716171543742889 0.0706204902360827
9784 0.17 0.690864585047114 0.067675937106344 0.724064472097084 0.0690386637383824
9949 0.18 0.690864585047114 0.067675937106344 0.731501710295229 0.0675615143854356
10090 0.19 0.690864585047114 0.067675937106344 0.738493595041215 0.0661866764840907
10220 0.2 0.690864585047114 0.067675937106344 0.74505046303893 0.0649117843411961
10330 0.21 0.690864585047114 0.067675937106344 0.751182650992265 0.0637344722636002
10420 0.22 0.690864585047114 0.067675937106344 0.756900495605109 0.0626523745581514
10500 0.23 0.690864585047114 0.067675937106344 0.762214333581351 0.0616631255316981
10560 0.24 0.690864585047114 0.067675937106344 0.76713450162488 0.0607643594910886
10620 0.25 0.690864585047114 0.067675937106344 0.771671336439587 0.0599537107431714
10660 0.26 0.690864585047114 0.067675937106344 0.77583517472936 0.0592288135947949
10690 0.27 0.690864585047114 0.067675937106344 0.77963635319809 0.0585873023528074
10700 0.28 0.690864585047114 0.067675937106344 0.783085208549666 0.0580268113240573
10710 0.29 0.690864585047114 0.067675937106344 0.786192077487976 0.0575449748153931
10710 0.3 0.690864585047114 0.067675937106344 0.788967296716911 0.0571394271336632
10700 0.31 0.690864585047114 0.067675937106344 0.791421202940361 0.0568078025857159
10680 0.32 0.714916714490566 0.0611295795506323 0.793564132862214 0.0565477354783996
10660 0.33 0.714916714490566 0.0611295795506323 0.795406423186359 0.0563568601185628
10640 0.34 0.714916714490566 0.0611295795506323 0.796958410616688 0.0562328108130538
10610 0.35 0.714916714490566 0.0611295795506323 0.798230431857089 0.056173221868721
10580 0.36 0.714916714490566 0.0611295795506323 0.799232823611451 0.0561757275924128
10550 0.37 0.714916714490566 0.0611295795506323 0.799975922583664 0.0562379622909776
10520 0.38 0.714916714490566 0.0611295795506323 0.800470065477618 0.0563575602712639
10480 0.39 0.714916714490566 0.0611295795506323 0.800725588997201 0.0565321558401199
10440 0.4 0.714916714490566 0.0611295795506323 0.800752829846304 0.0567593833043941
10400 0.41 0.714916714490566 0.0611295795506323 0.800562124728816 0.057036876970935
10360 0.42 0.78154463353522 0.0415526832138512 0.800163810348627 0.0573622711465908
10320 0.43 0.78154463353522 0.0415526832138512 0.799568223409625 0.05773320013821
10280 0.44 0.78154463353522 0.0415526832138512 0.798785700615701 0.0581472982526409
10240 0.45 0.78154463353522 0.0415526832138512 0.797826578670744 0.0586021997967321
10190 0.46 0.834451699052849 0.0253900702453805 0.796701194278643 0.0590955390773318
10150 0.47 0.85322076244023 0.0396097276789128 0.795419884143288 0.0596249504012885
10100 0.48 0.85322076244023 0.0396097276789128 0.793992984968568 0.0601880680754505
10060 0.49 0.85322076244023 0.0396097276789128 0.792430833458373 0.0607825264066663
10010 0.5 0.85322076244023 0.0396097276789128 0.790743766316592 0.0614059597017843
9967 0.51 0.790723981026212 0.052331561414899 0.788942120247115 0.0620560022676528
9921 0.52 0.790723981026212 0.052331561414899 0.787036231953831 0.0627302884111202
9876 0.53 0.790723981026212 0.052331561414899 0.78503643814063 0.063426452439035
9831 0.54 0.790723981026212 0.052331561414899 0.782953075511402 0.0641421286582455
9787 0.55 0.790723981026212 0.052331561414899 0.780796480770035 0.0648749513756001
9743 0.56 0.790723981026212 0.052331561414899 0.778576990620419 0.0656225548979473
9699 0.57 0.790723981026212 0.052331561414899 0.776304941766444 0.0663825735321353
9656 0.58 0.800785885494225 0.0570687388922545 0.773990670911999 0.0671526415850127
9614 0.59 0.800785885494225 0.0570687388922545 0.771644514760974 0.0679303933634278
9572 0.6 0.758345072879518 0.0689723879808168 0.769276810017257 0.068713463174229
9531 0.61 0.758345072879518 0.0689723879808168 0.766897893384739 0.0694994853242647
9490 0.62 0.758345072879518 0.0689723879808168 0.76451810156731 0.0702860941203833
9450 0.63 0.758345072879518 0.0689723879808168 0.762147771268858 0.0710709238694332
9410 0.64 0.758345072879518 0.0689723879808168 0.759795504327361 0.071852005262156
9370 0.65 0.778748678411014 0.0606221464498279 0.757462963117154 0.0726289545248663
9331 0.66 0.778748678411014 0.0606221464498279 0.755150075146657 0.0734017842677718
9293 0.67 0.778748678411014 0.0606221464498279 0.752856767924293 0.0741705071010803
9254 0.68 0.778748678411014 0.0606221464498279 0.750582968958483 0.0749351356349996
9217 0.69 0.778748678411014 0.0606221464498279 0.748328605757649 0.0756956824797375
9179 0.7 0.867876757686397 0.043150527194281 0.746093605830213 0.0764521602455017
9143 0.71 0.867876757686397 0.043150527194281 0.743877896684596 0.0772045815425001
9106 0.72 0.873136585938798 0.0397861593734902 0.741681405829221 0.0779529589809404
9070 0.73 0.873136585938798 0.0397861593734902 0.739504060772509 0.0786973051710303
9034 0.74 0.812549739235746 0.0529755402070365 0.737345789022882 0.0794376327229777
8999 0.75 0.780523972238223 0.0612892314401857 0.735206518088761 0.0801739542469904
8964 0.76 0.780523972238223 0.0612892314401857 0.733086175478569 0.080906282353276
8930 0.77 0.732513323489634 0.114683438970801 0.730984688700728 0.0816346296520424
