0.0025 22.7543 21.4541 0.0271901
0.005 32.5638 28.9032 0.0389118
0.0075 40.2527 33.6143 0.0480995
0.01 46.8357 36.7964 0.0559658
0.0125 52.6967 38.9656 0.0629694
0.015 58.0372 40.4168 0.069351
0.0175 62.981 41.3406 0.0752585
0.02 67.5865 41.8666 0.0807618
0.0225 71.9448 42.0948 0.0859698
0.025 76.04 42.0952 0.0908668
0.05 108.311 37.4947 0.129499
0.075 129.598 32.897 0.154994
0.1 143.015 30.1728 0.171084
0.125 150.51 28.7704 0.180101
0.15 153.517 28.2309 0.183755
0.175 153.532 28.2219 0.183832
0.2 151.535 28.5669 0.1815
0.225 148.3 29.1436 0.177692
0.25 144.421 29.8588 0.173105
0.5 106.04 37.7632 0.127693
0.75 82.5389 41.3925 0.100002
1 67.7902 41.4857 0.0827303
1.25 57.618 39.9067 0.0709019
1.5 50.1516 37.6932 0.062285
1.75 44.3948 35.3234 0.05569
2 39.7963 33.0038 0.0504638
2.25 36.8024 31.285 0.0471423
2.5 33.7474 29.3756 0.0437282
5 17.3416 16.6315 0.0251155
7.5 11.7244 11.4866 0.0180116
10 8.90072 8.79154 0.0141479
12.5 7.19482 7.13518 0.0116801
15 6.05229 6.01587 0.00995455
17.5 5.22892 5.20495 0.00866803
20 4.61238 4.59565 0.00767449
22.5 4.13175 4.11954 0.00688183
25 3.74455 3.73534 0.00623364
37.5 2.57382 2.5707 0.00424792
50 1.98235 1.98088 0.00325212
75 1.38418 1.38365 0.00225428
100 1.08264 1.08239 0.00175505
125 0.900623 0.900472 0.00145528
