0.01 41.2908 39.0137 0.0332919
0.02 56.7447 51.0264 0.0457521
0.03 66.8373 57.7393 0.0538904
0.04 73.4953 61.6321 0.0592694
0.05 77.6972 63.8636 0.0626662
0.06 80.0952 65.0581 0.0646095
0.07 81.1446 65.5623 0.0654645
0.08 81.2193 65.5956 0.0655345
0.09 80.5901 65.292 0.065037
0.1 79.4685 64.7428 0.0641431
0.2 61.8693 54.5306 0.050035
0.3 48.8996 45.1524 0.0396425
0.4 40.7101 38.5063 0.0330955
0.5 35.1777 33.7378 0.0286851
0.6 31.1822 30.1698 0.0255117
0.7 28.1628 27.4111 0.0231236
0.8 25.8118 25.2291 0.0212719
0.9 23.9551 23.4865 0.0198168
1 22.4655 22.0768 0.0186572
2 14.6853 14.5711 0.0127381
3 10.2062 10.1655 0.00937088
4 7.73417 7.71549 0.00747613
5 6.2395 6.22929 0.0062567
6 5.2389 5.23267 0.00539916
7 4.52096 4.51686 0.00475961
8 3.98106 3.9782 0.00426259
9 3.55994 3.55786 0.00386451
10 3.22125 3.21968 0.00353659
20 1.67678 1.67654 0.00192288
30 1.15101 1.15093 0.00131467
40 0.884637 0.884599 0.00100356
50 0.723062 0.72304 0.000816306
60 0.614325 0.614312 0.000690992
70 0.536744 0.536735 0.000601896
80 0.477924 0.477918 0.000534832
90 0.432022 0.432017 0.00048257
100 0.395248 0.395244 0.000440751
150 0.28447 0.284469 0.000315319
200 0.228664 0.228664 0.000252607
300 0.172985 0.172985 0.000190268
400 0.145518 0.145518 0.000159586
500 0.12946 0.12946 0.000141606
600 0.119034 0.119034 0.000129918
700 0.111865 0.111865 0.000121848
800 0.106665 0.106665 0.000115935
900 0.102921 0.102921 0.000111616
1000 0.0999375 0.0999374 0.000108245
1500 0.0927064 0.0927063 9.95043e-05
2000 0.0904933 0.0904932 9.64483e-05
2500 0.0900732 0.0900732 9.54558e-05
3000 0.0904163 0.0904162 9.53083e-05
3500 0.091148 0.091148 9.56602e-05
4000 0.0919933 0.0919932 9.61987e-05
4500 0.0929354 0.0929353 9.68402e-05
5000 0.0938837 0.0938836 9.75302e-05
5500 0.0948838 0.0948838 9.82564e-05
6000 0.0959153 0.0959152 9.90285e-05
6500 0.0968478 0.0968477 9.9765e-05
7000 0.0977232 0.0977231 0.000100462
7500 0.0985452 0.0985451 0.000101119
8000 0.0993982 0.0993982 0.000101809
8500 0.100189 0.100188 0.000102449
9000 0.101018 0.101018 0.000103116
9500 0.10173 0.10173 0.000103694
10000 0.102478 0.102477 0.000104292
