0.01 0.328 0.27 0
0.05 0.839 0.248 0
0.07 1.071 0.189 0
0.1 1.308 0.132 0
0.5 1.046 0.207 0
0.7 0.882 0.242 0
1 0.73 0.275 0
2 0.533 0.274 0
3 0.457 0.262 0
4 0.405 0.263 0
5 0.372 0.264 0
7 0.331 0.268 0
10 0.298 0.273 0
20 0.271 0.273 0
30 0.254 0.279 0
50 0.244 0.276 0
70 0.237 0.276 0
100 0.23 0.275 0
200 0.226 0.273 0
300 0.221 0.274 0
